Ticker,Date/Time,Open,High,Low,Close
NIFTYMIDCAP100,5/15/2017,18309.75,18413.85,18279.15,18405.95
NIFTYMIDCAP100,5/16/2017,18448.55,18511.55,18385.95,18498.3
NIFTYMIDCAP100,5/17/2017,18470.45,18494.9,18409.45,18449.6
NIFTYMIDCAP100,5/18/2017,18312.75,18371.3,18006.95,18030.25
NIFTYMIDCAP100,5/19/2017,18128.45,18248.3,17800.9,17921.35
NIFTYMIDCAP100,5/22/2017,18032.3,18080.4,17693.5,17720.6
NIFTYMIDCAP100,5/23/2017,17725.75,17729.3,17234.2,17424.85
NIFTYMIDCAP100,5/24/2017,17467.7,17492.05,17064.1,17120.55
NIFTYMIDCAP100,5/25/2017,17196.2,17398.7,17106.75,17345.35
NIFTYMIDCAP100,5/26/2017,17380.55,17602.4,17354.9,17586.45
NIFTYMIDCAP100,5/29/2017,17579.05,17600.85,17208.65,17225.95
NIFTYMIDCAP100,5/30/2017,17168.75,17426.25,17039.3,17411.5
NIFTYMIDCAP100,5/31/2017,17456.1,17535.5,17432.3,17509.9
NIFTYMIDCAP100,6/1/2017,17537.6,17627.6,17518.5,17618.05
NIFTYMIDCAP100,6/2/2017,17707.7,17788.15,17669.05,17769.65
NIFTYMIDCAP100,6/5/2017,17818.75,17891.3,17772.35,17828
NIFTYMIDCAP100,6/6/2017,17878.45,17891.85,17636.85,17733.65
NIFTYMIDCAP100,6/7/2017,17782.9,17870.25,17758.75,17855.75
NIFTYMIDCAP100,6/8/2017,17904.95,17949.6,17816.15,17904.45
NIFTYMIDCAP100,6/9/2017,17923.7,18000.05,17838.65,17993.9
NIFTYMIDCAP100,6/12/2017,17964.75,17996,17831.45,17878.9
NIFTYMIDCAP100,6/13/2017,17921.65,17996.7,17847.25,17881.5
NIFTYMIDCAP100,6/14/2017,17892.95,17958.6,17764.6,17931.6
NIFTYMIDCAP100,6/15/2017,17929.85,18024.25,17919.55,17983.6
NIFTYMIDCAP100,6/16/2017,18018,18097.95,17960.25,18002.55
NIFTYMIDCAP100,6/19/2017,18073,18097.85,17980.4,17996.4
NIFTYMIDCAP100,6/20/2017,18033.9,18090.95,17991.45,18016.05
NIFTYMIDCAP100,6/21/2017,18024.15,18079,17995.55,18045.85
NIFTYMIDCAP100,6/22/2017,18096.65,18153.55,17870.2,17907.9
NIFTYMIDCAP100,6/23/2017,17943.2,17947.8,17556.4,17686.3
NIFTYMIDCAP100,6/27/2017,17712.25,17721.7,17358.05,17455.6
NIFTYMIDCAP100,6/28/2017,17407.3,17560.75,17330.5,17522.95
NIFTYMIDCAP100,6/29/2017,17597.3,17692.45,17552.9,17601.3
NIFTYMIDCAP100,6/30/2017,17555.6,17769.05,17474.1,17729.75
NIFTYMIDCAP100,7/3/2017,17792.45,17913.8,17730.65,17903.95
NIFTYMIDCAP100,7/4/2017,17952.45,18030.8,17832.1,17866.9
NIFTYMIDCAP100,7/5/2017,17894.3,18065.65,17889.5,18043.75
NIFTYMIDCAP100,7/6/2017,18110.4,18174.4,18057.65,18081.05
NIFTYMIDCAP100,7/7/2017,18070.25,18142,18041.35,18104.2
NIFTYMIDCAP100,7/10/2017,18200.8,18273.5,18079.4,18258.45
NIFTYMIDCAP100,7/11/2017,18308.9,18334,18083.65,18098.7
NIFTYMIDCAP100,7/12/2017,18154.75,18234.75,18118.6,18223.1
NIFTYMIDCAP100,7/13/2017,18298.65,18332.75,18224.55,18277.15
NIFTYMIDCAP100,7/14/2017,18314.6,18328.1,18174.45,18278.85
NIFTYMIDCAP100,7/17/2017,18339.95,18346.9,18228.25,18311.1
NIFTYMIDCAP100,7/18/2017,18274.5,18372.4,18183.9,18216.6
NIFTYMIDCAP100,7/19/2017,18274.25,18353.55,18249.8,18344.2
NIFTYMIDCAP100,7/20/2017,18363.45,18383.2,18274.55,18291.4
NIFTYMIDCAP100,7/21/2017,18338.6,18346.7,18098.35,18262.2
NIFTYMIDCAP100,7/24/2017,18293.55,18362.45,18260.4,18303.8
NIFTYMIDCAP100,7/25/2017,18338.3,18390.65,18264.1,18377.35
NIFTYMIDCAP100,7/26/2017,18396,18484.7,18383.2,18429.25
NIFTYMIDCAP100,7/27/2017,18500.7,18545.35,18341.05,18376.75
NIFTYMIDCAP100,7/28/2017,18337.05,18483.75,18314.9,18468.9
NIFTYMIDCAP100,7/31/2017,18524.1,18536.3,18448.7,18514.6
NIFTYMIDCAP100,8/1/2017,18563.4,18587.15,18468.35,18513.45
NIFTYMIDCAP100,8/2/2017,18558.5,18560.85,18451.2,18517.95
NIFTYMIDCAP100,8/3/2017,18523.25,18523.85,18266.45,18317.55
NIFTYMIDCAP100,8/4/2017,18261.1,18393.3,18206.15,18365.25
